"Scale","Title","Brand","Number","Topic","Type","Price","Bought on","Bought at","Location","Room","Shelf","Box","Link"
"1:144","Beargguy III (San)","Bandai Spirits","5055432","KUMA-03 Beargguy III","Static model kits","USD 22.99","2024-05-09","USA Gundam Store","","","","","https://www.scalemates.com/kits/--1306419"
"1:144","Dilanza","Bandai Spirits","5063348","MD-0031 Dilanza","Static model kits","USD 0","0000-00-00","gift","","","","","https://www.scalemates.com/kits/--1443216"
"1:144","Dilanza Sol","Bandai Spirits","5065113","MD-0031UL Dilanza Sol","Static model kits","USD 0","2024-11-24","Gift","","","","","https://www.scalemates.com/kits/--1461638"
"1:144","Guel's Dilanza","Bandai Spirits","5063341","MD-0032G Guel's Dilanza","Static model kits","USD 24.95","0000-00-00","","","","","","https://www.scalemates.com/kits/--1443215"
"1:144","Darilbalde","Bandai Spirits","5063355","MD-0064 Darilbalde","Static model kits","USD 25","0000-00-00","","","","","","https://www.scalemates.com/kits/--1443222"
"1:144","Gundam Schwarzette","Bandai Spirits","5065024","MDX-0003 gundam Schwarzette","Static model kits","USD 32.89","0000-00-00","","","","","","https://www.scalemates.com/kits/--1461641"
"1:144","MS-06F-2 Zaku II F2","Bandai Spirits","5057745","MS-06 Zaku II","Static model kits"," 0","0000-00-00","gift","","","","","https://www.scalemates.com/kits/--1305533"
"1:144","MS-06S Zaku II","Bandai Spirits","5061595","MS-06 Zaku II","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1355178"
"1:100","MS-06S Zaku II Ver.2.0","Bandai Spirits","5061581","MS-06 Zaku II","Static model kits","USD 38.27","2024-02-23","Newtype.us","","","","","https://www.scalemates.com/kits/--1508765"
"1:144","MS-06C Zaku II Type C/ Type C-5","Bandai","0216745","MS-06 Zaku II (The Origin Ver.)","Static model kits","USD 23","2023-11-24","Newtype.us","","","","","https://www.scalemates.com/kits/--1104639"
"1:144","MS-06S Zaku II (Red Comet Ver.)","Bandai Spirits","5057656","MS-06 Zaku II (The Origin Ver.)","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1215314"
"1:144","MS-06R Zaku II High Mobility Type ""Psycho Zaku""","Bandai Spirits","5063138","MS-06 Zaku II (Thunderbolt Ver.)","Static model kits","USD 23.1","2023-11-24","Newtype.us","","","","","https://www.scalemates.com/kits/--1420454"
"1:144","MS-07B-3 Gouf Custom","Bandai Spirits","5059165","MS-07 Gouf","Static model kits","USD 20.99","2024-11-25","USA Gundam Store","","","","","https://www.scalemates.com/kits/--1305437"
"No","Gundam Artifact","Bandai","700548","MS-09 Dom","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1371761"
"1:100","MS-09 Dom","Bandai Spirits","5062171","MS-09 Dom","Static model kits","USD 0","0000-00-00","gift","","","","","https://www.scalemates.com/kits/--1319823"
"1:100","MS-18E Kämpfer","Bandai Spirits","5063507","MS-18 Kämpfer","Static model kits","USD 0","2024-11-24","Gift","","","","","https://www.scalemates.com/kits/--1417507"
"1:144","MS-21C DRA-C (Unicorn Ver.)","Bandai","0175309","MS-21 Dra-C","Static model kits","USD 22","2024-05-24","P-Bandai","","","","","https://www.scalemates.com/kits/--1124779"
"1:144","Chuchu's Demi Trainer","Bandai Spirits","5063347","MSJ-105CC Chuchu's Demi Trainer","Static model kits","USD 12.6","2023-11-24","Newtype.us","","","","","https://www.scalemates.com/kits/--1443218"
"1:144","Demi Trainer","Bandai Spirits","5063356","MSJ-121 Demi Trainer","Static model kits","USD 21.99","0000-00-00","","","","","","https://www.scalemates.com/kits/--1443217"
"1:144","Expansion Parts Set for Demi Trainer","Bandai Spirits","5063357","MSJ-121 Demi Trainer","Detail and Conversion sets","USD 12.99","0000-00-00","","","","","","https://www.scalemates.com/kits/--1454745"
"1:144","Demi Barding","Bandai Spirits","5065313","MSJ-R122 Demi Barding","Static model kits","USD 17.5","2023-11-24","Newtype.us","","","","","https://www.scalemates.com/kits/--1461639"
