"Scale","Title","Brand","Number","Topic","Type","Price","Bought on","Bought at","Location","Room","Shelf","Box","Link"
"1:1","Megami Device Chaos & Pretty Grandma","Kotobukiya","KP717","Megami Device","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1515108"
"1:1","Megami Device Chaos & Pretty Little Red","Kotobukiya","KP614","Megami Device","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1376846"
"1:1","Megami Device Chaos & Pretty Queen of Hearts","Kotobukiya","KP722","Megami Device","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1519414"
"1:100","Metal Gear Sahelanthropus","Kotobukiya","KP350","Metal Gear Solid","Static model kits","","","","","","","","https://www.scalemates.com/kits/--986208"
"1:20","Madox-01","Good Smile Company","159303","Metal Skin Panic MADOX-01","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1405778"
"1:144","MS-04 Bugu (Ramba Ral)","Bandai","0210504","MS-04 Bugu","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1123390"
"1:144","MS-05 Zaku I","Bandai","0207600","MS-05 Zaku I","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1011385"
"1:144","MS-05 Zaku I","Bandai","0206316","MS-05 Zaku I (The Origin Ver.)","Static model kits","","","","","","","","https://www.scalemates.com/kits/--998837"
"1:144","MS-05 Zaku I (Char Aznable)","Bandai","0216379","MS-05 Zaku I (The Origin Ver.)","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1123393"
"1:144","MS-05 Zaku I (Kycilia's Forces)","Bandai","0219764","MS-05 Zaku I (The Origin Ver.)","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1123397"
"1:144","MS-06 Zaku The Ground War Set","Bandai Spirits","5062835","MS-06 Zaku II","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1427750"
"1:100","MS-06J Zaku II ver 2.0","Bandai Spirits","5061580","MS-06 Zaku II","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1355626"
"1:100","MS-06S Zaku II Black Tri-Stars Custom","Bandai Spirits","5069227","MS-06 Zaku II","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1656777"
"1:144","Ruka’s Zaku (Plastic Model and Ruka Ver.)","Bandai Spirits","5072087","MS-06 Zaku II","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1662549"
"1:144","MS-06C Zaku II Type C/ Type C-5","Bandai","0216745","MS-06 Zaku II (The Origin Ver.)","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1104639"
"1:144","MS-06CK Zaku Half Cannon","Bandai","0219767","MS-06 Zaku II (The Origin Ver.)","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1123398"
"1:144","MS-06GD Zaku High Mobility Surface type [Egba]","Bandai Spirits","5064902","MS-06 Zaku II (The Origin Ver.)","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1463371"
"1:144","MS-06GD Zaku High Mobility Surface type [Selma]","Bandai Spirits","5065601","MS-06 Zaku II (The Origin Ver.)","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1503617"
